wavelength,valueA,valueB,valueC,valueD
503.752,572.67,1526.71,5054.88,2968.44
504.102,571.06,1519.87,4612.86,3045.56
504.453,570.62,1514.95,4291.08,3126.12
504.803,568.39,1505.49,4069.94,3212.95
505.154,572.47,1497.63,3927.17,3300.62
505.504,572.14,1488.19,3824.04,3391.99
505.855,568.22,1480.22,3742.15,3481.49
506.205,566.36,1470.38,3686.57,3583.83
506.555,563.49,1463.14,3638.82,3689.64
506.906,563.96,1458.42,3600.58,3791.91
507.256,561.04,1453.79,3564.15,3900.67
507.606,559.68,1449.35,3525.51,4012.37
507.956,557.67,1441.72,3495.77,4134.13
508.307,557.51,1429.63,3458.83,4252.57
508.657,558.48,1420.78,3423.46,4377.18
509.007,555.75,1416.17,3388.4,4506.62
509.357,554.18,1412.22,3360.09,4641.11
509.707,554.31,1405.97,3334.64,4779.06
510.057,554.91,1397.94,3299.03,4914.92
510.406,555.64,1392.09,3265.86,5045.81
510.756,552.9,1388.72,3235.24,5193.7
511.106,552.77,1382.8,3204.74,5332
511.456,551.25,1375.17,3175.22,5477.51
511.806,550.54,1365.02,3140.62,5620.01
512.155,549.31,1362.35,3112.91,5770.56
512.505,547.85,1357.69,3089.16,5923.89
512.855,544.76,1351.2,3067.58,6074.32
513.204,545.05,1343.55,3044.39,6239.34
513.554,545.62,1337.92,3024.75,6404.24
513.903,543.17,1334.08,3008.38,6573.51
514.253,540.55,1327.37,2990.93,6758.59
514.602,541.07,1319.43,2977.27,6945.8
514.951,539.07,1311.49,2959.44,7140.88
515.301,539.64,1307.96,2943.18,7337.04
515.65,536.49,1305.29,2930.47,7538.22
515.999,535.82,1298.45,2910.98,7743.85
516.348,534.15,1292.47,2889.98,7950.76
516.697,532.54,1284.3,2866.72,8170.57
517.047,535.01,1278.85,2848.4,8382.58
517.396,534.46,1272.96,2823.45,8593.42
517.745,533.62,1266.67,2801.93,8820.3
518.094,533.46,1263.96,2779.23,9050.02
518.443,532.42,1260.76,2753.88,9284.27
518.791,532.62,1259.46,2734.59,9543.52
519.14,531.08,1256.76,2716.41,9804.56
519.489,530.9,1251.51,2696.39,10076.34
519.838,528.5,1246.92,2679.25,10367.23
520.187,528.74,1242.99,2661.09,10658.48
520.535,527.64,1238.8,2643.44,10979.11
520.884,521.75,1236.24,2624.46,11301.38
521.233,519.94,1232.4,2611.73,11655.62
521.581,519.52,1228.48,2597.85,12008.59
521.93,518.68,1221.9,2583.42,12379.73
522.278,516.34,1216.56,2571.94,12743.09
522.627,515.48,1207.91,2556.26,13112.22
522.975,514.07,1197.94,2540.1,13512.82
523.323,513.27,1193.96,2528.06,13920.84
523.672,513.43,1189.02,2512.37,14335.15
524.02,510.69,1181.19,2498.44,14790.27
524.368,511.13,1177.02,2485.25,15229.82
524.716,512.85,1169.71,2471.66,15713.56
525.064,510.69,1163.89,2451.51,16213.88
525.413,509.1,1159.92,2436.11,16741.47
525.761,508.99,1154,2426.44,17278.09
526.109,509.26,1151.58,2410.49,17836.48
526.457,507.95,1147.74,2401.18,18376.38
526.805,506.37,1145.16,2389.55,18966.57
527.152,507.49,1139.18,2375.54,19557.89
527.5,505.92,1134.52,2361.11,20184.97
527.848,505.81,1132.05,2349.88,20754.22
528.196,505.68,1128.54,2335.62,21368.79
528.544,505.66,1124.83,2320.57,21994.77
528.891,505.13,1121.08,2310.09,22613.47
529.239,503.39,1114.77,2292.92,23241.9
529.587,501.53,1110.89,2277.06,23879.27
529.934,500.52,1102.44,2265.83,24536.47
530.282,498.8,1096.37,2250.89,25227.72
530.629,499.04,1093.1,2238.4,25880.25
530.977,497.01,1090.21,2221.7,26567.55
531.324,498.13,1087.83,2209.43,27250.81
531.671,496.74,1084.96,2195.66,27998.51
532.019,494.1,1080.77,2187.87,28673.14
532.366,491.18,1076.69,2177.76,29373.13
532.713,490.3,1073.55,2167.02,30066.52
533.06,492.02,1070.35,2158.76,30758.26
533.408,493.79,1067.29,2148.7,31454.63
